xw,yw,zw
19.50539855631174,1.8034,0.0
21.93809434044998,5.278406907269444,0.0
29.503537410446867,18.520725990419102,0.0
31.040665889554088,18.520725990419102,0.0
26.2420540819502,5.278406907269444,0.0
25.653912472740625,1.8034,0.0
19.50539855631174,1.8034,0.584723673452387
21.93809434044998,5.278406907269444,0.4093065714166708
29.503537410446867,18.520725990419102,0.14618091836309674
31.040665889554088,18.520725990419102,0.14618091836309674
26.2420540819502,5.278406907269444,0.4093065714166708
25.653912472740625,1.8034,0.584723673452387
